event_ticker,game_date,team1,team2,winner,team1_home,season,winner_implied_prob,t1_roll_win_pct,t1_roll_pts,t1_roll_opp_pts,t1_roll_pm,t1_roll_fg_pct,t1_roll_fg3_pct,t1_roll_ft_pct,t1_roll_reb,t1_roll_ast,t1_roll_tov,t1_roll_stl,t1_roll_blk,t1_rest_days,t2_roll_win_pct,t2_roll_pts,t2_roll_opp_pts,t2_roll_pm,t2_roll_fg_pct,t2_roll_fg3_pct,t2_roll_ft_pct,t2_roll_reb,t2_roll_ast,t2_roll_tov,t2_roll_stl,t2_roll_blk,t2_rest_days,diff_roll_win_pct,diff_roll_pts,diff_roll_opp_pts,diff_roll_pm,diff_roll_fg_pct,diff_roll_fg3_pct,diff_roll_ft_pct,diff_roll_reb,diff_roll_ast,diff_roll_tov,diff_roll_stl,diff_roll_blk,diff_rest_days,team1_won
KXNBAGAME-25DEC01ATLDET,2025-12-01,ATL,DET,DET,0,2025-26,0.7712,0.8921627955833576,1.6207569917420104,0.6187829364765194,0.5675030094939452,1.5696139470379693,1.1569837459415238,-0.7064630513291419,-0.7446756342525683,2.88160450808619,1.0254152263000589,0.8904187574996111,0.6121561414177037,-1.2164161539661753,1.3319185734116146,1.5365930771244438,0.31428620287175735,0.7522830584665745,1.567093440270896,0.648209283688065,-0.5837937185632245,0.6814743422899276,0.21923398832659594,1.4208599945373879,1.136667370764283,0.7787608183091705,-0.1512548160568486,-0.30067280763531784,0.06065518432425902,0.2239015533124282,-0.13864786454461467,0.008365381895090486,0.36797110366371044,-0.09082174650438479,-1.0014205300270629,1.8653848267052735,-0.2806909374134793,-0.17024213354586792,-0.123067247743077,-1.0704752598915837,0
KXNBAGAME-25DEC01CHABKN,2025-12-01,CHA,BKN,BKN,0,2025-26,0.3496,-0.8661056849155315,-0.4237513308506339,0.5708529473843988,-0.7330875679074369,-1.4914320244153878,-1.6769502355449575,1.560064900982307,-0.3235498745823065,-0.8766696793519324,-0.3249552571947546,-1.0071378248293055,-0.41108678839357415,-0.11527825568292054,-1.3704344873414982,-1.9109949676751665,-0.1521314468841348,-1.123734905901822,-1.3983803245291977,-0.5963868075611157,-0.2890898760822281,-1.6320617532064432,-0.9912206546181693,0.18506124561153864,-1.7145456392037965,0.1320852017379145,-0.1512548160568486,0.3377125638788836,1.1118316719466101,0.5242453853108803,0.28017204300505816,-0.0803649852452925,-0.7831918409017202,1.3278812809090221,0.9193291335899303,0.06970330948629815,-0.36579073038631205,0.49242798053784825,-0.3863780520869259,0.03999169085607133,0
KXNBAGAME-25DEC01CHIORL,2025-12-01,CHI,ORL,ORL,0,2025-26,0.7511,-0.8661056849155315,0.9197827097102477,1.8809393159023746,-0.8988491120860445,-0.5021374568297333,-0.19000956624649495,-0.6399509443764345,0.5510959339636248,0.9624857740752347,-0.03139645643501261,-1.0071378248293055,0.8912223950025976,-0.11527825568292054,1.3319185734116146,1.3612919901007339,-0.5702989949411398,1.3353697230675625,0.2814575331747789,-0.34531554996041625,1.5334207287344481,0.2958849930405318,0.13853701213027853,-1.0507375033143105,0.3324790859014916,0.039702970799163975,0.9237347694900384,-1.57744355066372,-0.33353599853412086,1.7718274566890613,-1.6045175409684693,-0.5620441211502076,0.09944929370028416,-1.5481164365805933,0.173626323009216,0.5747387362041353,0.740506578260508,-0.9348614959501553,0.6010374642025081,-1.0704752598915837,0
KXNBAGAME-25DEC01CLEIND,2025-12-01,CLE,IND,CLE,0,2025-26,0.6507,0.013028555333913172,-0.13167871333739903,-0.38774683445802227,0.223229033122991,-0.15610617310022215,-0.4419148090452948,-0.40971672800168224,0.06518159588255236,0.0029264070697556147,0.08602706386888376,-0.2773083700874144,0.7982003104742998,-1.2164161539661753,-0.920042310549313,-0.7033652570673931,0.49120324243433583,-0.8448673706578711,-0.7533225871708722,-0.7936570813902366,0.4269887587180815,-0.8608830547076514,-1.0719176308144867,0.00851856719355974,-0.8372493284443875,1.055907511125423,-0.1512548160568486,0.6569052496359843,0.4256470203042419,-0.630923199298547,0.7627254147470723,0.41715885907756173,0.23122388562677998,-0.5961887575648599,0.6481644751969424,0.7430838784434137,0.05970823447784958,0.3904787322172765,-0.18889494882903904,-1.0704752598915837,1
KXNBAGAME-25DEC01DALDEN,2025-12-01,DAL,DEN,DAL,0,2025-26,0.1855,-0.8661056849155315,-0.4237513308506339,0.427062980108037,-0.6183295757837857,-1.1986363227981054,-0.4279200733342481,-0.21273856510328218,0.3567301987311953,-1.076577880811407,1.1428387466039553,0.08760635728353114,1.4493549021723862,-0.11527825568292054,0.8815263966194288,1.9066731497300502,0.5233699769002599,0.8283378408058337,2.024009337566379,2.4451621416587845,1.0086410794042566,-0.05757191043807847,0.6227188693081843,-0.22687167069707845,-1.860761690997031,-0.7917371076495939,-0.1512548160568486,-1.2582508649066193,-1.749704322136455,-0.06489059283992699,-1.0400211438363018,-2.292286280387627,-2.003971551013226,-0.8681680944264983,0.28661159733962577,-1.1928852573082944,0.9958059571790057,1.358996591262707,1.5884529804919434,0.03999169085607133,1
KXNBAGAME-25DEC01HOUUTA,2025-12-01,HOU,UTA,UTA,0,2025-26,0.1942,1.3317299157080804,0.725067631368091,-1.1386499969012525,1.3835598423732436,0.17661621510122505,1.2514482119910746,0.1300546014991257,1.6525017669473885,-0.6767614778924579,0.027315303716935573,1.1823505393963678,-0.5041088729218727,-1.2164161539661753,-0.920042310549313,1.4002477872171142,2.3568738414579,-0.946273747110217,0.026122178803776822,-0.1946727953999974,0.5459043442805893,0.1352227641866172,2.2366583932345394,1.244317316119409,-0.17927709537483108,-0.6993548767108434,-1.2262444016037357,1.6144833069072864,-0.5087320798045131,-2.5138479922119132,1.6640986940387597,0.10343363240264106,1.0193851241305436,-0.2929685509285752,1.0549114627864242,-2.0346109685046905,-0.8763894882233056,0.9511995979804209,0.14024355660077248,0.03999169085607133,0
KXNBAGAME-25DEC01LACMIA,2025-12-01,LAC,MIA,MIA,0,2025-26,0.707,-1.3056728050402537,-0.19009323684004545,0.9063628710292475,-0.8478455600310884,-0.4089751881333272,-0.1270332555467945,2.754724668171298,-0.971435658690403,-1.3964310031465668,0.6144329052364195,-0.5692401519841711,-0.2250426193369788,-0.11527825568292054,0.8815263966194288,1.4586814828916832,0.475119875201375,0.5748218996749693,-0.35464106894246206,0.07074539120645666,0.3158285374313914,1.5490503781010674,1.2682946788787264,-0.16802411122441813,-0.39860117306468257,0.22446743267666502,-0.1512548160568486,-1.5774435506637199,-1.238715751764479,0.31631504008118366,-1.02181158263849,-0.04550662672585061,-0.14420938571097291,1.7560649666438974,-1.7697203954738616,-1.866265826265411,0.5703069923148433,-0.11926750938558227,-0.3205503510009638,0.03999169085607133,0
KXNBAGAME-25DEC01MILWAS,2025-12-01,MIL,WAS,WAS,0,2025-26,0.2082,-1.3056728050402537,-0.93001053454024,0.23534302373955235,-0.7968420079761321,0.5226474988307362,2.238077079619702,-1.5967020213115153,-1.6517157320039024,0.4827060905724944,0.26216234432472935,0.08760635728353114,-1.2482855491482567,-0.11527825568292054,-1.8208266641336839,-0.4891083729273054,1.9065395589349707,-1.8209037440116993,-0.2426518784288631,0.4939797968762079,-0.3304518188865765,-0.9572803920200015,-0.5473872855384214,0.9500795187561115,-0.47170919896130037,0.7787608183091705,0.9237347694900384,0.3377125638788837,-0.33353599853412086,-1.1969558057571654,0.7354110729503546,0.540747584737376,1.2431532991000647,-0.910435153533376,-0.4816882681071696,0.7150263547368668,-0.49344041984556003,0.3904787322172765,-1.4396212694623232,-1.0704752598915837,0
KXNBAGAME-25DEC01PHXLAL,2025-12-01,PHX,LAL,PHX,0,2025-26,0.3353,0.4525956754586354,0.16039390417583585,-0.46763014961155736,0.4782467933977718,-0.040762411857052566,0.13886672296304817,0.11726381170052694,0.03278730667714708,-1.5563575643141458,0.6731446653883677,1.9851629396124477,-0.8761972110350646,-0.11527825568292054,1.3319185734116146,0.8159108304714175,-0.18429818135005877,0.6762282761273152,1.5984504136147004,0.4186584195959985,0.628628229889289,-0.5716910427706056,-0.5070387974402635,0.3616039240295165,0.2593710600048745,-0.8841193385883449,-1.2262444016037357,-0.6198654933924184,-0.4941324063653146,-0.2035108229930586,-0.14775264514352066,-1.1641430410313593,-0.19642195987052927,-0.36096338514398535,0.4221939265361197,-0.7439648780035499,0.22990782042351438,1.2060727187818492,0.008588154428847751,1.1504586416037264,1
KXNBAGAME-25DEC02MEMSAS,2025-12-02,MEM,SAS,SAS,0,2025-26,0.6386,0.013028555333913172,-0.5211088700217122,-0.24395686718165818,-0.14654671927544116,-1.0123117854052932,-0.8057779375324469,-0.18715698550608748,1.8144732129744126,1.4422654575779734,0.08602706386888376,-1.0071378248293055,0.05402363424791592,-0.11527825568292054,0.4311342198272434,0.6016539463313272,0.12128579607621569,0.29595436443101863,0.6129455370950322,-0.36324921121760906,1.6419958285958667,0.19948765572818394,-0.10355391645867508,-0.4622619085877156,0.11315500821163886,-0.5145904148333416,-0.1512548160568486,-0.3006728076353175,-0.844524568906097,-0.2612692522235299,-0.3207434765227333,-1.1609740993477764,-0.32571023874180843,-1.3000271766054494,1.1227026273846703,1.0797741629219726,0.4001074063691784,-0.7819376234692975,0.40355436094462194,0.03999169085607133,0
